AB,AFIB,AFL,B,IVR,N,NOD,P,PREX,SBR,SVTA,T,VFL,VT
100.0,81.17647058823529,56.25,53.0,100.0,92.1969696969697,25.0,98.0392156862745,33.33333333333333,80.45977011494253,50.0,58.620689655172406,100.0,100.0
,78.45528455284553,73.33333333333333,66.66666666666666,50.0,91.6854778028593,,99.22178988326849,66.66666666666666,76.66666666666667,100.0,54.166666666666664,100.0,100.0
100.0,82.89473684210526,64.28571428571429,60.86956521739131,100.0,91.54770848985724,0.0,97.31800766283524,75.0,72.63157894736842,100.0,70.0,100.0,100.0
,80.3030303030303,81.81818181818183,64.13043478260869,66.66666666666666,91.74484052532833,50.0,98.80952380952381,66.66666666666666,83.9506172839506,100.0,52.17391304347826,100.0,100.0
100.0,81.27853881278538,70.0,66.30434782608695,100.0,91.04811637448714,0.0,96.93486590038314,50.0,80.23255813953489,100.0,53.125,100.0,100.0
100.0,80.16194331983806,83.33333333333334,59.375,75.0,91.69783096484667,33.33333333333333,98.81422924901186,83.33333333333334,94.44444444444444,100.0,50.0,100.0,
,78.98832684824903,71.42857142857143,60.215053763440864,100.0,92.18573046432617,25.0,96.93486590038314,100.0,84.52380952380952,100.0,66.66666666666666,100.0,100.0
,78.54077253218884,60.0,60.204081632653065,100.0,90.89212392683838,0.0,98.06949806949807,75.0,81.3953488372093,66.66666666666666,52.0,100.0,100.0
,77.18631178707224,66.66666666666666,57.446808510638306,0.0,91.61314695882132,,98.07692307692307,75.0,77.90697674418605,100.0,80.76923076923077,100.0,75.0
100.0,78.50877192982456,50.0,65.21739130434783,66.66666666666666,90.98360655737704,0.0,96.52509652509652,66.66666666666666,77.38095238095238,100.0,58.620689655172406,100.0,100.0
0.0,82.35294117647058,66.66666666666666,78.125,50.0,91.22547204738986,66.66666666666666,98.49056603773585,100.0,83.9506172839506,100.0,70.83333333333334,100.0,100.0
0.0,82.14285714285714,80.0,59.79381443298969,100.0,92.13226909920182,0.0,98.06949806949807,71.42857142857143,66.34615384615384,66.66666666666666,51.61290322580645,100.0,
0.0,83.26530612244898,69.23076923076923,73.41772151898735,75.0,91.95791055993988,20.0,96.66666666666667,100.0,81.60919540229885,100.0,51.85185185185185,100.0,100.0
100.0,82.32931726907631,75.0,57.831325301204814,100.0,91.38059701492537,25.0,97.65625,100.0,83.52941176470588,100.0,66.66666666666666,100.0,100.0
,77.16535433070865,85.71428571428571,69.89247311827957,75.0,91.59125188536953,100.0,97.25490196078431,50.0,75.82417582417582,100.0,54.83870967741935,100.0,100.0
,75.28089887640449,66.66666666666666,63.51351351351351,66.66666666666666,91.55035835533761,0.0,97.35849056603773,83.33333333333334,81.60919540229885,75.0,50.0,,100.0
100.0,79.83870967741935,70.58823529411765,68.67469879518072,50.0,91.51401869158879,50.0,97.265625,0.0,88.31168831168831,100.0,50.0,100.0,100.0
,82.97872340425532,72.22222222222221,64.63414634146342,66.66666666666666,91.50204994409243,20.0,97.67441860465115,75.0,80.23255813953489,100.0,59.09090909090909,100.0,100.0
,83.96624472573839,83.33333333333334,60.396039603960396,75.0,91.84597961494903,0.0,95.81749049429658,33.33333333333333,75.28089887640449,0.0,59.375,100.0,100.0
100.0,78.68217054263566,63.63636363636363,63.33333333333333,,92.09231933409005,33.33333333333333,97.3076923076923,60.0,81.60919540229885,100.0,48.64864864864865,100.0,100.0
100.0,80.81632653061224,71.42857142857143,67.36842105263158,50.0,91.75141242937853,0.0,96.10894941634241,66.66666666666666,80.45977011494253,66.66666666666666,57.14285714285714,100.0,100.0
50.0,79.39914163090128,81.81818181818183,66.30434782608695,50.0,91.29782445611403,0.0,94.29657794676805,80.0,78.88888888888889,100.0,65.38461538461539,100.0,100.0
,80.75313807531381,75.0,61.702127659574465,50.0,91.37931034482759,0.0,95.78544061302682,62.5,81.17647058823529,,50.0,100.0,100.0
,82.52032520325203,83.33333333333334,67.02127659574468,100.0,92.02107640195709,0.0,96.89922480620154,100.0,73.11827956989248,75.0,65.38461538461539,100.0,100.0
,78.68852459016394,66.66666666666666,65.21739130434783,100.0,91.55722326454033,0.0,95.01915708812261,100.0,73.11827956989248,100.0,72.72727272727273,100.0,
,80.7017543859649,90.9090909090909,58.16326530612245,100.0,90.95327102803739,33.33333333333333,98.41897233201581,100.0,77.27272727272727,75.0,46.875,100.0,100.0
,83.33333333333334,57.14285714285714,66.23376623376623,66.66666666666666,91.25744047619048,20.0,98.046875,0.0,79.7752808988764,75.0,62.857142857142854,100.0,75.0
0.0,81.57894736842105,87.5,59.183673469387756,50.0,91.55722326454033,100.0,96.875,83.33333333333334,73.40425531914893,100.0,58.06451612903226,100.0,100.0
,83.1275720164609,58.333333333333336,67.08860759493672,80.0,92.02107640195709,0.0,96.99248120300751,83.33333333333334,71.57894736842105,100.0,62.5,100.0,100.0
0.0,82.23140495867769,83.33333333333334,66.29213483146067,83.33333333333334,92.078460958129,50.0,96.29629629629629,60.0,73.40425531914893,100.0,54.166666666666664,100.0,100.0
0.0,80.89430894308943,90.0,65.88235294117646,100.0,91.69161676646706,0.0,98.06201550387597,75.0,85.18518518518519,75.0,60.71428571428571,100.0,100.0
,80.9322033898305,88.88888888888889,64.8936170212766,100.0,91.59820761762509,33.33333333333333,97.65625,100.0,76.92307692307693,100.0,63.63636363636363,100.0,66.66666666666666
0.0,78.0,83.33333333333334,64.28571428571429,100.0,91.42000749344324,50.0,98.06949806949807,66.66666666666666,76.66666666666667,100.0,64.0,100.0,
,81.67330677290838,61.53846153846154,66.66666666666666,100.0,91.95922989807474,0.0,98.47328244274809,100.0,79.3103448275862,66.66666666666666,50.0,100.0,100.0
0.0,77.96610169491525,62.5,70.12987012987013,100.0,90.85820895522389,,97.31800766283524,50.0,74.73684210526315,0.0,53.125,100.0,100.0
0.0,79.25311203319502,92.3076923076923,67.08860759493672,75.0,91.20838009726899,0.0,96.57794676806084,60.0,79.54545454545455,100.0,60.0,100.0,100.0
0.0,79.69924812030075,75.0,65.82278481012658,80.0,92.44495064540622,50.0,98.45559845559846,57.14285714285714,73.62637362637363,100.0,51.515151515151516,100.0,50.0
,81.04838709677419,100.0,66.66666666666666,66.66666666666666,92.20338983050847,0.0,96.2406015037594,44.44444444444444,74.72527472527473,75.0,72.72727272727273,100.0,100.0
,76.03305785123968,90.0,66.66666666666666,50.0,91.1036036036036,0.0,95.83333333333334,50.0,76.34408602150538,100.0,50.0,100.0,0.0
