AB,AFIB,AFL,B,IVR,N,NOD,P,PREX,SBR,SVTA,T,VFL,VT
,85.01628664495115,47.05882352941176,55.208333333333336,100.0,94.40724694761717,0.0,93.11594202898551,22.22222222222222,100.0,50.0,40.0,100.0,50.0
100.0,80.54711246200608,52.94117647058824,50.588235294117645,80.0,93.61455108359134,50.0,98.4375,55.55555555555556,94.28571428571428,,40.0,100.0,100.0
0.0,81.29496402877699,52.94117647058824,70.0,66.66666666666666,92.88161400837457,50.0,96.61654135338345,31.25,97.14285714285714,66.66666666666666,56.09756097560976,83.33333333333334,100.0
0.0,82.97213622291022,70.0,59.74025974025974,100.0,93.61783929257977,0.0,96.1977186311787,52.94117647058824,98.59154929577466,0.0,48.0,100.0,100.0
,83.97212543554006,41.17647058823529,55.33980582524271,100.0,93.7402799377916,80.0,91.75627240143369,50.0,95.83333333333334,50.0,45.45454545454545,100.0,50.0
100.0,84.02777777777779,60.0,61.627906976744185,80.0,93.51745301112389,33.33333333333333,95.18518518518519,50.0,100.0,50.0,48.148148148148145,75.0,100.0
,85.55555555555556,57.692307692307686,66.15384615384615,80.0,92.58273107645493,50.0,94.73684210526315,45.0,98.57142857142858,0.0,45.23809523809524,100.0,100.0
0.0,85.97122302158273,41.17647058823529,64.1025641025641,100.0,93.60973754279193,0.0,94.85294117647058,61.53846153846154,98.59154929577466,100.0,64.51612903225806,100.0,50.0
50.0,81.07255520504731,59.09090909090909,56.52173913043478,50.0,94.4986344127975,33.33333333333333,94.18181818181817,57.14285714285714,97.22222222222221,100.0,51.61290322580645,100.0,100.0
0.0,86.28158844765343,81.25,61.53846153846154,50.0,92.44712990936556,100.0,94.8905109489051,33.33333333333333,100.0,100.0,48.38709677419355,75.0,
0.0,85.03401360544217,46.15384615384615,68.11594202898551,83.33333333333334,93.36637438048037,75.0,96.29629629629629,66.66666666666666,98.59154929577466,0.0,51.515151515151516,50.0,100.0
,79.8076923076923,54.54545454545454,53.68421052631579,75.0,94.03973509933775,33.33333333333333,96.60377358490567,54.54545454545454,94.52054794520548,66.66666666666666,63.888888888888886,100.0,75.0
,84.5360824742268,50.0,56.30252100840336,66.66666666666666,94.81803797468355,33.33333333333333,93.14079422382672,42.857142857142854,90.9090909090909,50.0,39.473684210526315,83.33333333333334,50.0
100.0,80.92105263157895,33.33333333333333,56.97674418604651,100.0,93.53597537514429,33.33333333333333,94.11764705882352,50.0,100.0,33.33333333333333,69.56521739130434,100.0,100.0
