AB,AFIB,AFL,B,IVR,N,NOD,P,PREX,SBR,SVTA,T,VFL,VT
,73.83720930232558,33.33333333333333,30.978260869565215,66.66666666666666,93.72967951695308,50.0,89.61937716262976,3.9761431411530817,97.14285714285714,,26.666666666666668,100.0,100.0
0.0,39.93558776167472,11.03896103896104,37.5,,95.2799629801018,50.0,96.12403100775194,20.0,96.61016949152543,33.33333333333333,18.181818181818183,50.0,28.57142857142857
0.0,53.333333333333336,100.0,33.33333333333333,100.0,91.78743961352657,0.0,98.36065573770492,,94.11764705882352,50.0,16.847826086956523,100.0,33.33333333333333
,65.79925650557621,100.0,35.294117647058826,100.0,90.71183859916255,,98.71244635193133,25.0,97.05882352941177,50.0,0.0,83.33333333333334,100.0
0.0,43.24853228962818,31.818181818181817,36.36363636363637,,91.73053650665591,25.0,93.68029739776952,0.0,100.0,50.0,23.076923076923077,100.0,
0.0,47.608695652173914,50.0,43.24324324324324,50.0,92.57142857142857,50.0,90.74733096085409,,98.57142857142858,60.0,26.82926829268293,100.0,60.0
,73.33333333333333,0.0,50.0,,88.02122820318424,30.0,93.04029304029304,9.223300970873787,98.61111111111111,50.0,33.33333333333333,100.0,50.0
,75.9493670886076,100.0,41.75824175824176,,88.23956442831215,0.0,92.619926199262,20.0,95.65217391304348,100.0,20.588235294117645,,22.22222222222222
,69.85294117647058,16.8,33.33333333333333,20.0,86.54597089101883,0.0,98.32635983263597,,96.92307692307692,100.0,,100.0,100.0
,77.90697674418605,35.294117647058826,33.33333333333333,100.0,85.30739840222299,0.0,93.63295880149812,0.0,95.45454545454545,66.66666666666666,30.0,100.0,100.0
,50.43103448275862,50.0,40.0,,91.37193937038477,,91.51943462897526,,98.07692307692307,50.0,57.14285714285714,100.0,100.0
,48.060344827586206,25.0,50.0,40.0,90.81313526192338,,98.23008849557522,,98.07692307692307,50.0,24.324324324324326,100.0,100.0
0.0,60.92307692307693,50.0,46.875,,91.00650593187906,,89.93055555555556,25.0,100.0,66.66666666666666,24.0,100.0,100.0
50.0,68.71508379888269,100.0,34.65346534653465,,89.02937895128301,12.5,91.66666666666666,6.25,95.77464788732394,,50.0,100.0,66.66666666666666
,64.70588235294117,50.0,60.0,100.0,88.12024628757696,,94.921875,,100.0,100.0,28.8135593220339,100.0,66.66666666666666
,59.53177257525084,7.446808510638298,0.0,66.66666666666666,90.3525765207284,50.0,98.73949579831933,14.285714285714285,95.08196721311475,33.33333333333333,27.27272727272727,66.66666666666666,100.0
,74.50980392156863,57.14285714285714,43.47826086956522,100.0,86.48648648648648,0.0,96.3855421686747,12.5,100.0,100.0,17.56756756756757,100.0,100.0
,70.0,46.666666666666664,73.68421052631578,,85.39638386648123,,89.3103448275862,7.142857142857142,96.875,23.52941176470588,100.0,100.0,66.66666666666666
