AB,AFIB,AFL,B,IVR,N,NOD,P,PREX,SBR,SVTA,T,VFL,VT
,75.8364312267658,0.0,85.71428571428571,,88.45050215208035,,96.93486590038314,,100.0,,,100.0,100.0
,70.74074074074073,33.33333333333333,94.11764705882352,,88.26475849731665,,98.83268482490273,,100.0,,,100.0,100.0
,75.79365079365078,50.0,88.88888888888889,,88.22064056939502,,98.44357976653697,,98.27586206896551,,,100.0,100.0
,74.27536231884058,100.0,81.25,,88.54688618468145,,98.82352941176471,,100.0,,,100.0,100.0
,75.44483985765125,100.0,81.25,,88.76122082585279,,97.66536964980544,,100.0,,,100.0,100.0
,73.11827956989248,,83.33333333333334,0.0,88.55810616929699,,97.65625,,100.0,,,100.0,
,72.66187050359713,50.0,72.22222222222221,,88.69283399351818,,96.94656488549617,,100.0,,,100.0,100.0
,75.19083969465649,100.0,85.71428571428571,,88.40114204139901,,96.57794676806084,,100.0,,,100.0,
,73.94366197183099,,94.11764705882352,,88.9168765743073,,97.3076923076923,,100.0,,,100.0,66.66666666666666
,79.07949790794979,100.0,75.0,,87.8541076487252,,96.94656488549617,,100.0,,,100.0,100.0
,77.45454545454545,,90.0,0.0,89.10463861920172,,95.92592592592592,,98.36065573770492,,,100.0,100.0
,72.89377289377289,0.0,82.35294117647058,,88.63391896737181,,97.34848484848484,,98.24561403508771,,,100.0,
,76.64233576642336,66.66666666666666,92.85714285714286,,88.78504672897196,,96.96969696969697,,100.0,,,100.0,
,74.63235294117648,100.0,81.25,,88.6778932282336,,96.52509652509652,,100.0,,,100.0,100.0
,76.69172932330827,40.0,81.25,,88.15554762754192,,98.00796812749005,,98.24561403508771,,,100.0,
,73.18840579710145,0.0,90.9090909090909,,88.327962764053,,97.6923076923077,,100.0,,,,100.0
,77.81818181818181,50.0,78.94736842105263,,88.98061737257717,,97.67441860465115,,100.0,,,100.0,
,73.74517374517374,0.0,84.61538461538461,,87.81527531083482,,98.06949806949807,,100.0,,,100.0,100.0
,74.54545454545455,50.0,100.0,,88.55400071761751,,98.44357976653697,,100.0,,,100.0,100.0
,71.33105802047781,,81.81818181818183,,88.62491000719942,,98.06201550387597,,100.0,,,100.0,100.0
,75.66539923954373,0.0,76.19047619047619,,88.30242510699001,,98.01587301587301,,100.0,,,100.0,100.0
,72.20216606498195,0.0,87.5,0.0,88.6012225818051,,96.16858237547893,,100.0,,,100.0,100.0
,76.60377358490567,50.0,77.27272727272727,,88.58267716535433,,97.2972972972973,,100.0,,,100.0,100.0
,75.56390977443608,0.0,94.11764705882352,,88.70967741935483,,96.96969696969697,,100.0,,,100.0,
,76.85950413223141,50.0,80.0,,87.66832034018427,,96.1977186311787,,100.0,,,100.0,
,77.06766917293233,,70.58823529411765,,88.46840414137807,,96.49805447470817,,100.0,,,100.0,100.0
,77.7327935222672,0.0,88.23529411764706,,87.77895855472902,,98.80478087649402,,100.0,,,100.0,66.66666666666666
,75.56390977443608,50.0,92.3076923076923,0.0,88.07568725455195,,98.0544747081712,,100.0,,,100.0,100.0
,79.59183673469387,,81.25,,88.13499111900532,,98.44961240310077,,100.0,,,100.0,100.0
,75.84905660377359,100.0,77.77777777777779,,88.93266475644698,,97.31800766283524,,100.0,,,100.0,100.0
,73.23420074349443,,64.28571428571429,,87.96724813100748,,98.0392156862745,,98.0392156862745,,,100.0,100.0
,76.55677655677655,0.0,91.66666666666666,,88.96477354421279,,97.66536964980544,,100.0,,,100.0,50.0
,75.37878787878788,,83.33333333333334,,88.0199075719872,,98.4313725490196,,100.0,,,100.0,
,77.35849056603774,50.0,82.35294117647058,,88.59084406294707,,97.34848484848484,,100.0,,,100.0,100.0
,76.47058823529412,20.0,91.66666666666666,,88.33214030064424,,98.06949806949807,,100.0,,,100.0,100.0
,78.515625,,76.47058823529412,,88.04116394606105,,98.4126984126984,,100.0,,,100.0,
,79.92125984251969,66.66666666666666,85.71428571428571,,88.48484848484848,,98.06949806949807,,100.0,,,100.0,100.0
,74.20634920634922,100.0,92.3076923076923,,88.07829181494662,,97.70992366412213,,100.0,,,100.0,
,76.28458498023716,33.33333333333333,87.5,,88.38040757954951,,95.84905660377359,,98.38709677419355,,,100.0,50.0
,75.92592592592592,100.0,83.33333333333334,,88.38871025366201,,98.06201550387597,,100.0,,,100.0,100.0
,75.46468401486989,0.0,68.75,,88.2625758116304,,98.4313725490196,,100.0,,,100.0,
,76.2081784386617,100.0,94.11764705882352,100.0,88.38871025366201,,98.01587301587301,,100.0,,,100.0,100.0
,72.0754716981132,,83.33333333333334,,88.5509838998211,,98.44961240310077,,100.0,,,100.0,
,74.06015037593986,0.0,84.21052631578947,,88.37625178826896,,98.06201550387597,,98.33333333333333,,,100.0,
,76.51821862348179,50.0,92.85714285714286,,88.09355067328136,,98.07692307692307,,100.0,,,100.0,100.0
,75.86206896551724,,86.66666666666667,0.0,88.31492696829355,,97.6923076923077,,100.0,,,100.0,100.0
,77.85977859778598,0.0,85.71428571428571,,88.9605734767025,,98.83268482490273,,98.21428571428571,,,100.0,
,76.83397683397683,50.0,94.44444444444444,,88.3065953654189,,98.4313725490196,,100.0,,,100.0,100.0
,76.97841726618705,,84.61538461538461,,88.40941512125535,,98.40637450199203,,100.0,,,100.0,100.0
